"year","tmin","state","site","lat","label"
2013,15.2426229508197,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2014,14.426393442623,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2015,15.2314754098361,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2016,16.0608196721311,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2017,15.3904918032787,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2018,16.4709836065574,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2019,16.2214754098361,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2020,16.7459016393443,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2021,17.2759016393443,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2022,16.6962295081967,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2023,16.3081967213115,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2024,15.8986885245902,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2025,17.0647540983607,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
