"location","year","longitude","latitude","mean_mint","mean_maxt","avg_t","nightT","dayT","nightT_irr","nightT_elev","mint_hr","night_agree","n_night_hr","n_day_hr","n_days","n_missing","night_minus_mint"
"Stuttgart",2012,-91.4207784898741,34.4758317966178,22.5,35.6,29.1,24.9330833333333,31.6740714285714,24.9330833333333,24.6112412587413,22.6328333333333,0.936111111111111,600,840,60,0,2.43308333333333
"Stuttgart",2013,-91.4207784898741,34.4758317966178,21.3,33.3,27.3,23.5695901639344,29.6611241217799,23.5695901639344,23.1934767641997,21.3955737704918,0.936475409836066,610,854,61,0,2.26959016393442
"Stuttgart",2014,-91.4207784898741,34.4758317966178,20.6,30.3,25.5,22.4608524590164,27.4325175644028,22.4608524590164,22.1270223752151,20.7303278688525,0.936475409836066,610,854,61,0,1.86085245901639
"Stuttgart",2015,-91.4207784898741,34.4758317966178,23.2,33.8,28.5,24.9099508196721,30.3372716627635,24.9099508196721,24.6510843373494,23.1726229508197,0.936475409836066,610,854,61,0,1.70995081967213
"Stuttgart",2016,-91.4207784898741,34.4758317966178,23.2,33.7,28.5,25.16305,30.6273571428571,25.16305,24.8596503496503,23.3001666666667,0.936111111111111,600,840,60,0,1.96305
"Stuttgart",2017,-91.4207784898741,34.4758317966178,21.6,32.1,26.9,23.6278524590164,29.0079156908665,23.6278524590164,23.3436833046472,21.7893442622951,0.936475409836066,610,854,61,0,2.02785245901639
"Stuttgart",2018,-91.4207784898741,34.4758317966178,23.3,34.4,28.8,25.4137704918033,31.0381850117096,25.4137704918033,25.0600688468158,23.4083606557377,0.936475409836066,610,854,61,0,2.11377049180328
"Stuttgart",2019,-91.4207784898741,34.4758317966178,21.5,30.4,26,23.2710819672131,27.8669203747073,23.2710819672131,23.0355077452668,21.7249180327869,0.936475409836066,610,854,61,0,1.77108196721311
"Stuttgart",2022,-91.4207784898741,34.4758317966178,22.7,34.4,28.5,24.943737704918,30.9647423887588,24.943737704918,24.6425473321859,22.8826229508197,0.936475409836066,610,854,61,0,2.24373770491803
"Stuttgart",2024,-91.4207784898741,34.4758317966178,22.1,32.8,27.5,24.1578333333333,29.6362023809524,24.1578333333333,23.8394405594406,22.2731666666667,0.936111111111111,600,840,60,0,2.05783333333333
